student_id,class_id,created_at,updated_at
S052,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S053,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S062,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S080,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S084,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S085,CLS001A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S141,CLS019B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S142,CLS019B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S143,CLS019B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S144,CLS019B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S145,CLS019B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S157,CLS020C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S158,CLS020C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S171,CLS020C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S172,CLS020C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S001,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S003,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S004,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S054,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S094,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S103,CLS002A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S146,CLS021B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S147,CLS021B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S148,CLS021B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S149,CLS021B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S150,CLS021B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S159,CLS022C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S173,CLS022C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S174,CLS022C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S009,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S013,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S020,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S021,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S027,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S049,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S076,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S091,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S105,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S108,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S110,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S119,CLS003A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S151,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S152,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S153,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S154,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S155,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S156,CLS023B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S160,CLS024C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S161,CLS024C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S162,CLS024C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S163,CLS024C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S002,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S005,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S006,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S011,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S014,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S073,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S075,CLS004A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S164,CLS025B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S165,CLS025B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S166,CLS025B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S167,CLS025B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S168,CLS025B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S175,CLS026C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S176,CLS026C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S177,CLS026C,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S007,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S034,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S036,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S056,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S060,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S065,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S069,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S082,CLS005A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S169,CLS027B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S170,CLS027B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S178,CLS027B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S179,CLS027B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S180,CLS027B,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S025,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S031,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S032,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S033,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S035,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S037,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S041,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S055,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S057,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S086,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S092,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S093,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S096,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S098,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S100,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S101,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S102,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S118,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S120,CLS006A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S016,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S018,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S019,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S022,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S026,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S068,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S097,CLS007A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S045,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S046,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S047,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S051,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S059,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S061,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S064,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S066,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S071,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S072,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S077,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S079,CLS008A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S010,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S017,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S029,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S030,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S038,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S039,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S050,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S058,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S067,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S074,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S078,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S087,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S088,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S089,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S090,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S107,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S115,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S116,CLS009A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S012,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S015,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S023,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S024,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S028,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S040,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S042,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S043,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S044,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S048,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S070,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S081,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S083,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S095,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S099,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S104,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S106,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S109,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S111,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S112,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S113,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S114,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S117,CLS010A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S008,CLS011A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S063,CLS011A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S121,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S122,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S123,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S124,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S125,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S126,CLS012A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S127,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S128,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S129,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S130,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S133,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S135,CLS013A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S131,CLS014A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S132,CLS014A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S134,CLS014A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S136,CLS014A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S139,CLS014A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S137,CLS015A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S138,CLS015A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
S140,CLS015A,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z
